TIMESTAMP;CGROUP;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_SW_CPU_CLOCK;PERF_COUNT_HW_BRANCH_MISSES
1701766369.1756;/sys/fs/cgroup/custom.slice/pg1;1278345865;2366511201;501107492;2222680
1701766369.1756;/sys/fs/cgroup/custom.slice/pg2;5373285799;14479034456;1497090656;36291507
1701766369.1756;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766370.1758;#SYSTEM;6795808740;17040170768;3996679732;39275305
1701766370.1758;/sys/fs/cgroup/custom.slice/pg1;1309021512;2427670843;499832086;2290961
1701766370.1758;/sys/fs/cgroup/custom.slice/pg2;5373050777;14478340504;1497020183;36289732
1701766370.1758;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766370.997752;#SYSTEM;6688213143;16878807569;4000411349;38712158
1701766370.997752;/sys/fs/cgroup/custom.slice/pg1;1273905463;2351054057;495268236;2204035
1701766370.997752;/sys/fs/cgroup/custom.slice/pg2;5380076541;14497431772;1498975638;36337534
1701766370.997752;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766372.1793;#SYSTEM;6702149549;16862346279;3993895371;39102523
1701766372.1793;/sys/fs/cgroup/custom.slice/pg1;1260508446;2332566506;500601995;2189791
1701766372.1793;/sys/fs/cgroup/custom.slice/pg2;5383529798;14506801202;1499944918;36361016
1701766372.1793;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766373.133818;#SYSTEM;303519329;608600937;6013015307;1735824
1701766373.133818;/sys/fs/cgroup/custom.slice/pg1;74746184;137788183;26921484;131259
1701766373.133818;/sys/fs/cgroup/custom.slice/pg2;154835240;405360420;43144901;1013864
1701766373.133818;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766373.997800;#SYSTEM;71283952;64667136;5907239166;571545
1701766373.997800;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1701766373.997800;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1701766373.997800;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
1701766374.997833;#SYSTEM;71290470;65338087;5994816915;581348
1701766374.997833;/sys/fs/cgroup/custom.slice/pg1;0;0;0;0
1701766374.997833;/sys/fs/cgroup/custom.slice/pg2;0;0;0;0
1701766374.997833;/sys/fs/cgroup/custom.slice/pg8;0;0;0;0
