TIMESTAMP;CGROUP;PERF_COUNT_HW_CACHE_MISSES;PERF_COUNT_HW_INSTRUCTIONS;PERF_COUNT_HW_CPU_CYCLES;PERF_COUNT_SW_CPU_CLOCK
1683819814.691890;#SYSTEM;56772372;23859609348;22479654723;5993544413
1683819814.691890;/sys/fs/cgroup/anon.slice/anon_service.service;5046;169759;0;596132
1683819814.691890;/sys/fs/cgroup/test.slice/test;56736380;23856485477;0;5988559093
1683819815.691059;#SYSTEM;58680292;24117901193;22465464685;5993201653
1683819815.691059;/sys/fs/cgroup/anon.slice/anon_service.service;6507;168464;0;607281
1683819815.691059;/sys/fs/cgroup/test.slice/test;58637267;24116301240;0;5982553481
1683819816.690269;#SYSTEM;59463644;23199191302;22478783815;5993752834
1683819816.690269;/sys/fs/cgroup/anon.slice/anon_service.service;5693;171486;0;620872
1683819816.690269;/sys/fs/cgroup/test.slice/test;59427072;23198046915;0;5988717055
1683819817.689489;#SYSTEM;60966100;22255803958;22493167123;5994227310
1683819817.689489;/sys/fs/cgroup/anon.slice/anon_service.service;5271;180190;0;659937
1683819817.689489;/sys/fs/cgroup/test.slice/test;60938601;22254877768;0;5988562954
1683819818.688608;#SYSTEM;62912883;22705052485;22418782816;5993573476
1683819818.688608;/sys/fs/cgroup/anon.slice/anon_service.service;6051;166899;0;601755
1683819818.688608;/sys/fs/cgroup/test.slice/test;62169422;22662710220;0;5953190629
1683819819.687778;#SYSTEM;58189513;21049449999;21738807115;5989315513
1683819819.687778;/sys/fs/cgroup/anon.slice/anon_service.service;5039;167343;0;592683
1683819819.687778;/sys/fs/cgroup/test.slice/test;48797504;20357443130;0;5451654189
1683819820.686939;#SYSTEM;62444616;23037471168;22427937257;5993283510
1683819820.686939;/sys/fs/cgroup/anon.slice/anon_service.service;4973;167528;0;586193
1683819820.686939;/sys/fs/cgroup/test.slice/test;62386354;23034761244;0;5987173080
1683819821.686177;#SYSTEM;50579651;24307143753;22435712684;5993326771
1683819821.686177;/sys/fs/cgroup/anon.slice/anon_service.service;6484;179151;0;659482
1683819821.686177;/sys/fs/cgroup/test.slice/test;50534145;24305135701;0;5981828012
1683819822.685326;#SYSTEM;49596403;23473244561;22451631252;5993709698
1683819822.685326;/sys/fs/cgroup/anon.slice/anon_service.service;5406;168951;0;605593
1683819822.685326;/sys/fs/cgroup/test.slice/test;49567129;23472850078;0;5983542282
1683819823.684520;#SYSTEM;62532195;22386199270;22500993152;5994136104
1683819823.684520;/sys/fs/cgroup/anon.slice/anon_service.service;4936;164717;0;528650
1683819823.684520;/sys/fs/cgroup/test.slice/test;62511969;22385201274;0;5990975101
1683819824.683665;#SYSTEM;55173685;24496877583;22467967059;5993286230
1683819824.683665;/sys/fs/cgroup/anon.slice/anon_service.service;5546;177924;0;685770
1683819824.683665;/sys/fs/cgroup/test.slice/test;55113975;24490248977;0;5986415358
1683819825.682869;#SYSTEM;58564636;24545169709;22464726099;5992993904
1683819825.682869;/sys/fs/cgroup/anon.slice/anon_service.service;6811;178352;0;638207
1683819825.682869;/sys/fs/cgroup/test.slice/test;58506950;24538357190;0;5985096699
1683819826.682061;#SYSTEM;54016539;22678893921;22492737610;5994253552
1683819826.682061;/sys/fs/cgroup/anon.slice/anon_service.service;4959;169580;0;620348
1683819826.682061;/sys/fs/cgroup/test.slice/test;53999749;22679221163;0;5991834092
1683819827.681258;#SYSTEM;69988118;22293756212;22477473269;5993776080
1683819827.681258;/sys/fs/cgroup/anon.slice/anon_service.service;6184;231203;0;625622
1683819827.681258;/sys/fs/cgroup/test.slice/test;69949202;22291425770;0;5984283682
1683819828.680425;#SYSTEM;57720340;23827373437;22271528256;5990260163
1683819828.680425;/sys/fs/cgroup/anon.slice/anon_service.service;5234;169407;0;605956
1683819828.680425;/sys/fs/cgroup/test.slice/test;51289938;23385645405;0;5745475481
1683819829.679616;#SYSTEM;59619346;22772943864;22496124083;5993964061
1683819829.679616;/sys/fs/cgroup/anon.slice/anon_service.service;5017;169975;0;550987
1683819829.679616;/sys/fs/cgroup/test.slice/test;59569983;22764325590;0;5988183478
1683819830.678761;#SYSTEM;63542478;22853843655;22371248285;5993106504
1683819830.678761;/sys/fs/cgroup/anon.slice/anon_service.service;5658;174385;0;685376
1683819830.678761;/sys/fs/cgroup/test.slice/test;63490224;22851880093;0;5960865021
1683819831.677990;#SYSTEM;48751207;24457239925;22473403379;5993673794
1683819831.677990;/sys/fs/cgroup/anon.slice/anon_service.service;6696;169052;0;639397
1683819831.677990;/sys/fs/cgroup/test.slice/test;48711050;24454677183;0;5988191642
1683819832.677163;#SYSTEM;59204381;22797322771;22296581284;5992727663
1683819832.677163;/sys/fs/cgroup/anon.slice/anon_service.service;6912;174206;0;631504
1683819832.677163;/sys/fs/cgroup/test.slice/test;58810786;22479760569;0;5883582835
1683819833.676372;#SYSTEM;64694228;22853910345;22449380912;5993161542
1683819833.676372;/sys/fs/cgroup/anon.slice/anon_service.service;6523;172966;0;624517
1683819833.676372;/sys/fs/cgroup/test.slice/test;64638165;22852749115;0;5984812313
